QUANTITY,PART NUMBER,MANUFACTURER PART NUMBER,DESCRIPTION,CUSTOMER REFERENCE,UNIT PRICE
1,1740-1066-ND,"BT151-500R,127",SCR 500V 12A TO220AB,SCR1,0.64
1,497-12729-5-ND,TS420-600T,SCR 600V 4A TO220AB,SCR2,1.42
1,495-75609-ND,B57164K0331J000,THERMISTOR NTC 330OHM 3450K DISC,TH1,0.763
1,PPC82W-1CT-ND,PR01000108209JR500,RES 82 OHM 1W 5% AXIAL,R1,0.224
1,PPC1.8KW-1CT-ND,PR01000101801JR500,RES 1.8K OHM 1W 5% AXIAL,R4,0.224
1,PPC2.7KW-1CT-ND,PR01000102701JR500,RES 2.7K OHM 1W 5% AXIAL,R5,0.224
1,PPC68KW-1CT-ND,PR01000106802JR500,RES 68K OHM 1W 5% AXIAL,R7,0.224
2,749-2068-1-ND,CCF551K00FKE36,RES 1 KOHM 1% 1/2W AXIAL,"R8, R9",0.1884
1,PPC560W-1CT-ND,PR01000105600JR500,RES 560 OHM 1W 5% AXIAL,R10,0.224
1,56-SFR25H0004700FR500CT-ND,SFR25H0004700FR500,RES 470 OHM 1/2W 1% AXIAL,R11,0.203
3,PPC1.0MW-1CT-ND,PR01000101004JR500,RES 1M OHM 1W 5% AXIAL,"R12, R13, R14",0.1184
1,PPC1.2KW-1CT-ND,PR01000101201JR500,RES 1.2K OHM 1W 5% AXIAL,R15,0.224
1,BC1676-ND,BFC237051473,CAP FILM 0.047UF 10% 400VDC RAD,C3,0.91
1,399-13043-ND,SMR5104J50J01L16.5CBULK,CAP FILM 0.1UF 5% 50VDC RADIAL,C4,1.57
1,399-R71PF310050H6K-ND,R71PF310050H6K,"FILM, RADIAL, PULSE, SINGLE META",C5,0.6
1,1572-1093-ND,225MWR400K,CAP FILM 2.2UF 10% 400VDC AXIAL,C1,4.47
9,641-1312-1-ND,1N4007-G,DIODE GEN PURP 1KV 1A DO41,D1-D9,0.21
